央视频道,#genre#
东方卫视,http://150.138.8.143/00/SNM/CHANNEL00000309/index.m3u8
湖南卫视,http://150.138.8.143/00/SNM/CHANNEL00000324/index.m3u8
江苏卫视,http://150.138.8.143/00/SNM/CHANNEL00000304/index.m3u8
浙江卫视,http://150.138.8.143/00/SNM/CHANNEL00000305/index.m3u8
安徽卫视,http://150.138.8.143/00/SNM/CHANNEL00000328/index.m3u8
深圳卫视,http://150.138.8.143/00/SNM/CHANNEL00000308/index.m3u8
东南卫视,http://150.138.8.143/00/SNM/CHANNEL00000310/index.m3u8
广东卫视,http://150.138.8.143/00/SNM/CHANNEL00000307/index.m3u8
天津卫视,http://150.138.8.143/00/SNM/CHANNEL00000327/index.m3u8
河南卫视,http://150.138.8.143/00/SNM/CHANNEL00000358/index.m3u8
辽宁卫视,http://150.138.8.143/00/SNM/CHANNEL00000326/index.m3u8
广西卫视,http://150.138.8.143/00/SNM/CHANNEL00000368/index.m3u8
贵州卫视,http://150.138.8.143/00/SNM/CHANNEL00000329/index.m3u8
海南卫视,http://150.138.8.143/00/SNM/CHANNEL00000347/index.m3u8
河北卫视,http://150.138.8.143/00/SNM/CHANNEL00000330/index.m3u8
黑龙江卫视,http://150.138.8.143/00/SNM/CHANNEL00000306/index.m3u8
湖北卫视,http://150.138.8.143/00/SNM/CHANNEL00000325/index.m3u8
吉林卫视,http://150.138.8.143/00/SNM/CHANNEL00000363/index.m3u8
江西卫视,http://150.138.8.143/00/SNM/CHANNEL00000335/index.m3u8
青海卫视,http://150.138.8.143/00/SNM/CHANNEL00000366/index.m3u8
四川卫视,http://150.138.8.143/00/SNM/CHANNEL00000348/index.m3u8
云南卫视,http://150.138.8.143/00/SNM/CHANNEL00000367/index.m3u8
重庆卫视,http://150.138.8.143/00/SNM/CHANNEL00000341/index.m3u8
甘肃卫视,http://150.138.8.143/00/SNM/CHANNEL00000349/index.m3u8
西藏卫视,http://150.138.8.143/00/SNM/CHANNEL00000045/index.m3u8
新疆卫视,http://150.138.8.143/00/SNM/CHANNEL00000044/index.m3u8
兵团卫视,http://150.138.8.143/00/SNM/CHANNEL00000071/index.m3u8
大湾区卫视,http://150.138.8.143/00/SNM/CHANNEL00000670/index.m3u8
三沙卫视,http://150.138.8.143/00/SNM/CHANNEL00000078/index.m3u8
农林卫视,http://150.138.8.143/00/SNM/CHANNEL00000072/index.m3u8
凤凰卫视,http://150.138.8.143/00/SNM/CHANNEL00000380/index.m3u8
省内频道,#genre#
山东齐鲁,http://150.138.8.143/00/SNM/CHANNEL10000313/index.m3u8
山东新闻,http://150.138.8.143/00/SNM/CHANNEL00000314/index.m3u8
山东综艺,http://150.138.8.143/00/SNM/CHANNEL00000338/index.m3u8
山东体育,http://150.138.8.143/00/SNM/CHANNEL00000315/index.m3u8
山东文旅,http://150.138.8.143/00/SNM/CHANNEL00000337/index.m3u8
山东生活,http://150.138.8.143/00/SNM/CHANNEL00000336/index.m3u8
山东少儿,http://150.138.8.143/00/SNM/CHANNEL00000340/index.m3u8
山东农科,http://150.138.8.143/00/SNM/CHANNEL00000339/index.m3u8
山东教育,http://150.138.8.143/00/SNM/CHANNEL00000331/index.m3u8
潍坊新闻综合,http://150.138.8.143/00/SNM/CHANNEL00000215/index.m3u8
潍坊经济生活,http://150.138.8.143/00/SNM/CHANNEL00000216/index.m3u8
潍坊影视综艺,http://150.138.8.143/00/SNM/CHANNEL00000217/index.m3u8
潍坊科教文旅,http://150.138.8.143/00/SNM/CHANNEL00000218/index.m3u8
山东交通广播,http://150.138.8.143/00/SNM/CHANNEL00003002/index.m3u8
山东居家购物,http://150.138.8.143/00/SNM/CHANNEL00000700/index.m3u8
济南新闻综合,http://150.138.8.143/00/SNM/CHANNEL00000312/index.m3u8
山东经济广播,http://150.138.8.143/00/SNM/CHANNEL00003001/index.m3u8
济南教育频道,http://150.138.8.143/00/SNM/CHANNEL00000069/index.m3u8
济南1新闻综合,http://150.138.8.143/00/SNM/CHANNEL00000206/index.m3u8
济南1经济生活,http://150.138.8.143/00/SNM/CHANNEL00000207/index.m3u8
LCTV综合,http://150.138.8.143/00/SNM/CHANNEL00000250/index.m3u8
LCTV综民生,http://150.138.8.143/00/SNM/CHANNEL00000251/index.m3u8
烟台新闻综合,http://150.138.8.143/00/SNM/CHANNEL00000280/index.m3u8
烟台经济科技,http://150.138.8.143/00/SNM/CHANNEL00000282/index.m3u8
烟台影视,http://150.138.8.143/00/SNM/CHANNEL00000283/index.m3u8
淄博新闻综合,http://150.138.8.143/00/SNM/CHANNEL00000292/index.m3u8
东平综合,http://150.138.8.143/00/SNM/CHANNEL00001001/index.m3u8
未知3综合,http://150.138.8.143/00/SNM/CHANNEL00001003/index.m3u8
龙口综合,http://150.138.8.143/00/SNM/CHANNEL00001005/index.m3u8
淄川新闻,http://150.138.8.143/00/SNM/CHANNEL00001007/index.m3u8
商河综合,http://150.138.8.143/00/SNM/CHANNEL00001008/index.m3u8
岱岳,http://150.138.8.143/00/SNM/CHANNEL00001013/index.m3u8
莒县综合,http://150.138.8.143/00/SNM/CHANNEL00001014/index.m3u8
未知4综合,http://150.138.8.143/00/SNM/CHANNEL00001015/index.m3u8
嘉祥综合,http://150.138.8.143/00/SNM/CHANNEL00001016/index.m3u8
崂山频道,http://150.138.8.143/00/SNM/CHANNEL00001022/index.m3u8
无棣综合,http://150.138.8.143/00/SNM/CHANNEL00001024/index.m3u8
未知5综合,http://150.138.8.143/00/SNM/CHANNEL00001029/index.m3u8
济阳综合,http://150.138.8.143/00/SNM/CHANNEL00001030/index.m3u8
蒙阴综合,http://150.138.8.143/00/SNM/CHANNEL00001031/index.m3u8
兰陵综合,http://150.138.8.143/00/SNM/CHANNEL00001032/index.m3u8
昌乐综合,http://150.138.8.143/00/SNM/CHANNEL00001033/index.m3u8
未知6综合,http://150.138.8.143/00/SNM/CHANNEL00001035/index.m3u8
阳信新闻综合,http://150.138.8.143/00/SNM/CHANNEL00001036/index.m3u8
淄博影视,http://150.138.8.143/00/SNM/CHANNEL00001037/index.m3u8
郓城综合,http://150.138.8.143/00/SNM/CHANNEL00001038/index.m3u8
肥城综合,http://150.138.8.143/00/SNM/CHANNEL00001039/index.m3u8
广饶综合,http://150.138.8.143/00/SNM/CHANNEL00001043/index.m3u8	
岚山,http://150.138.8.143/00/SNM/CHANNEL00001044/index.m3u8	
寿光蔬菜,http://150.138.8.143/00/SNM/CHANNEL00001045/index.m3u8	
莘县综合,http://150.138.8.143/00/SNM/CHANNEL00001047/index.m3u8	
CPTV综合,http://150.138.8.143/00/SNM/CHANNEL00001048/index.m3u8	
平阴综合,http://150.138.8.143/00/SNM/CHANNEL00001050/index.m3u8	
兖州新闻,http://150.138.8.143/00/SNM/CHANNEL00001051/index.m3u8	
曲阜综合,http://150.138.8.143/00/SNM/CHANNEL00001052/index.m3u8	
荣成综合,http://150.138.8.143/00/SNM/CHANNEL00001053/index.m3u8	
平度新闻综合,http://150.138.8.143/00/SNM/CHANNEL00001054/index.m3u8	
齐河综合,http://150.138.8.143/00/SNM/CHANNEL00001056/index.m3u8	
其它频道,#genre#
金鹰纪实,http://150.138.8.143/00/SNM/CHANNEL00000334/index.m3u8
上海纪实人文,http://150.138.8.143/00/SNM/CHANNEL00000333/index.m3u8
北京纪实科教,http://150.138.8.143/00/SNM/CHANNEL00000332/index.m3u8
魅力足球,http://150.138.8.143/00/SNM/CHANNEL00002021/index.m3u8
生活时尚,http://150.138.8.143/00/SNM/CHANNEL00002019/index.m3u8
新动漫,http://150.138.8.143/00/SNM/CHANNEL00000659/index.m3u8
优漫卡通,http://150.138.8.143/00/SNM/CHANNEL00000049/index.m3u8
综艺影视,http://150.138.8.143/00/SNM/CHANNEL00001060/index.m3u8
都市剧场,http://150.138.8.143/00/SNM/CHANNEL00002022/index.m3u8
动漫秀场,http://150.138.8.143/00/SNM/CHANNEL00002000/index.m3u8
哈哈炫动,http://150.138.8.143/00/SNM/CHANNEL00000050/index.m3u8
嘉佳卡通,http://150.138.8.143/00/SNM/CHANNEL00000074/index.m3u8
金鹰卡通,http://150.138.8.143/00/SNM/CHANNEL00002027/index.m3u8
精彩影视,http://150.138.8.143/00/SNM/CHANNEL00002012/index.m3u8
家庭理财,http://150.138.8.143/00/SNM/CHANNEL00000654/index.m3u8
金色学堂,http://150.138.8.143/00/SNM/CHANNEL00002018/index.m3u8
中华特产,http://150.138.8.143/00/SNM/CHANNEL00000642/index.m3u8
中国交通,http://150.138.8.143/00/SNM/CHANNEL00000073/index.m3u8
CGTN,http://150.138.8.143/00/SNM/CHANNEL00000352/index.m3u8
CGTN西语,http://150.138.8.143/00/SNM/CHANNEL00000354/index.m3u8
CHC影迷电影,http://150.138.8.143/00/SNM/CHANNEL00002029/index.m3u8
CHC家庭影院,http://150.138.8.143/00/SNM/CHANNEL00002028/index.m3u8
CHC动作电影,http://150.138.8.143/00/SNM/CHANNEL00002030/index.m3u8
东方财经,http://150.138.8.143/00/SNM/CHANNEL00002025/index.m3u8
游戏风云,http://150.138.8.143/00/SNM/CHANNEL00002024/index.m3u8
都市剧场,http://150.138.8.143/00/SNM/CHANNEL00002022/index.m3u8
乐游,http://150.138.8.143/00/SNM/CHANNEL00002016/index.m3u8
法制天地,http://150.138.8.143/00/SNM/CHANNEL00002010/index.m3u8
汽摩,http://150.138.8.143/00/SNM/CHANNEL00000711/index.m3u8
生态环境,http://150.138.8.143/00/SNM/CHANNEL00000671/index.m3u8
求索记录,http://150.138.8.143/00/SNM/CHANNEL00000667/index.m3u8
海洋频道,http://150.138.8.143/00/SNM/CHANNEL00000662/index.m3u8
卡酷少儿,http://150.138.8.143/00/SNM/CHANNEL00000661/index.m3u8
文物宝库,http://150.138.8.143/00/SNM/CHANNEL00000658/index.m3u8
武术世界,http://150.138.8.143/00/SNM/CHANNEL00000657/index.m3u8
梨园频道,http://150.138.8.143/00/SNM/CHANNEL00000656/index.m3u8
茶频道,http://150.138.8.143/00/SNM/CHANNEL00000649/index.m3u8
快乐垂钓,http://150.138.8.143/00/SNM/CHANNEL00000648/index.m3u8
重温经典影视,http://150.138.8.143/00/SNM/CHANNEL00000364/index.m3u8
